filename, language, Python, YAML, Django txt, Django HTML, CSV, JSON, comment, blank, total
Ratings\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
Ratings\admin.py, Python, 1, 0, 0, 0, 0, 0, 1, 2, 4
Ratings\apps.py, Python, 3, 0, 0, 0, 0, 0, 0, 3, 6
Ratings\migrations\0001_initial.py, Python, 40, 0, 0, 0, 0, 0, 1, 7, 48
Ratings\migrations\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
Ratings\models.py, Python, 36, 0, 0, 0, 0, 0, 0, 10, 46
Ratings\serializers.py, Python, 0, 0, 0, 0, 0, 0, 0, 2, 2
Ratings\tests.py, Python, 1, 0, 0, 0, 0, 0, 1, 2, 4
Ratings\views.py, Python, 1, 0, 0, 0, 0, 0, 1, 2, 4
Scraper\ScraperFinishSurface\Armstrong\__init__.py, Python, 91, 0, 0, 0, 0, 0, 0, 7, 98
Scraper\ScraperFinishSurface\Armstrong\commercial_hardwood.py, Python, 33, 0, 0, 0, 0, 0, 0, 6, 39
Scraper\ScraperFinishSurface\Armstrong\commercial_heterovinyl.py, Python, 45, 0, 0, 0, 0, 0, 0, 7, 52
Scraper\ScraperFinishSurface\Armstrong\commercial_homovinyl.py, Python, 18, 0, 0, 0, 0, 0, 0, 5, 23
Scraper\ScraperFinishSurface\Armstrong\commercial_laminate.py, Python, 19, 0, 0, 0, 0, 0, 0, 6, 25
Scraper\ScraperFinishSurface\Armstrong\commercial_linoleum.py, Python, 44, 0, 0, 0, 0, 0, 0, 8, 52
Scraper\ScraperFinishSurface\Armstrong\commercial_luxuryflooring.py, Python, 104, 0, 0, 0, 0, 0, 0, 12, 116
Scraper\ScraperFinishSurface\Armstrong\commercial_rigidcore.py, Python, 40, 0, 0, 0, 0, 0, 0, 5, 45
Scraper\ScraperFinishSurface\Armstrong\commercial_vct.py, Python, 35, 0, 0, 0, 0, 0, 0, 4, 39
Scraper\ScraperFinishSurface\Armstrong\residential_engineeredtile.py, Python, 29, 0, 0, 0, 0, 0, 11, 5, 45
Scraper\ScraperFinishSurface\Armstrong\residential_hardwood.py, Python, 21, 0, 0, 0, 0, 0, 0, 11, 32
Scraper\ScraperFinishSurface\Armstrong\residential_laminate.py, Python, 20, 0, 0, 0, 0, 0, 0, 7, 27
Scraper\ScraperFinishSurface\Armstrong\residential_lvt.py, Python, 24, 0, 0, 0, 0, 0, 0, 6, 30
Scraper\ScraperFinishSurface\Armstrong\residential_rigidcore.py, Python, 26, 0, 0, 0, 0, 0, 0, 7, 33
Scraper\ScraperFinishSurface\Armstrong\residential_vinylsheet.py, Python, 45, 0, 0, 0, 0, 0, 13, 10, 68
Scraper\ScraperFinishSurface\Armstrong\residential_vinyltile.py, Python, 25, 0, 0, 0, 0, 0, 7, 5, 37
Scraper\ScraperFinishSurface\Crossville\__init__.py, Python, 91, 0, 0, 0, 0, 0, 0, 19, 110
Scraper\ScraperFinishSurface\FloridaTile\__init__.py, Python, 79, 0, 0, 0, 0, 0, 0, 8, 87
Scraper\ScraperFinishSurface\Mohawk\__init__.py, Python, 63, 0, 0, 0, 0, 0, 1, 8, 72
Scraper\ScraperFinishSurface\Mohawk\hardwood.py, Python, 87, 0, 0, 0, 0, 0, 0, 5, 92
Scraper\ScraperFinishSurface\Mohawk\tile.py, Python, 76, 0, 0, 0, 0, 0, 0, 15, 91
Scraper\ScraperFinishSurface\Mohawk\vinyl.py, Python, 75, 0, 0, 0, 0, 0, 4, 5, 84
Scraper\ScraperFinishSurface\Shaw\__init__.py, Python, 48, 0, 0, 0, 0, 0, 6, 8, 62
Scraper\ScraperFinishSurface\Shaw\hardwood.py, Python, 26, 0, 0, 0, 0, 0, 0, 3, 29
Scraper\ScraperFinishSurface\Shaw\laminate.py, Python, 11, 0, 0, 0, 0, 0, 0, 2, 13
Scraper\ScraperFinishSurface\Shaw\resilient.py, Python, 19, 0, 0, 0, 0, 0, 3, 2, 24
Scraper\ScraperFinishSurface\Shaw\tile-and-stone.py, Python, 12, 0, 0, 0, 0, 0, 0, 2, 14
Scraper\ScraperFinishSurface\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
Scraper\ScraperFinishSurface\add_details.py, Python, 37, 0, 0, 0, 0, 0, 3, 4, 44
Scraper\ScraperFinishSurface\admin.py, Python, 3, 0, 0, 0, 0, 0, 1, 3, 7
Scraper\ScraperFinishSurface\apps.py, Python, 3, 0, 0, 0, 0, 0, 0, 3, 6
Scraper\ScraperFinishSurface\migrations\0001_initial.py, Python, 51, 0, 0, 0, 0, 0, 1, 7, 59
Scraper\ScraperFinishSurface\migrations\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
Scraper\ScraperFinishSurface\models.py, Python, 106, 0, 0, 0, 0, 0, 0, 17, 123
Scraper\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
Scraper\admin.py, Python, 1, 0, 0, 0, 0, 0, 1, 2, 4
Scraper\apps.py, Python, 3, 0, 0, 0, 0, 0, 0, 3, 6
Scraper\migrations\0001_initial.py, Python, 92, 0, 0, 0, 0, 0, 1, 7, 100
Scraper\migrations\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
Scraper\models.py, Python, 294, 0, 0, 0, 0, 0, 1, 61, 356
Scraper\permissions.py, Python, 11, 0, 0, 0, 0, 0, 0, 4, 15
Scraper\tests.py, Python, 1, 0, 0, 0, 0, 0, 1, 2, 4
Scraper\views.py, Python, 37, 0, 0, 0, 0, 0, 5, 16, 58
__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
bitbucket-pipelines.yml, YAML, 0, 15, 0, 0, 0, 0, 0, 2, 17
config\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
config\apps.py, Python, 3, 0, 0, 0, 0, 0, 0, 3, 6
config\management\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
config\management\commands\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
config\management\commands\add_mock_suppliers.py, Python, 70, 0, 0, 0, 0, 0, 42, 6, 118
config\management\commands\add_zips.py, Python, 15, 0, 0, 0, 0, 0, 2, 4, 21
config\management\commands\delete_mock_suppliers.py, Python, 13, 0, 0, 0, 0, 0, 0, 4, 17
config\management\commands\delete_scraper_default.py, Python, 8, 0, 0, 0, 0, 0, 0, 3, 11
config\management\commands\get_images.py, Python, 5, 0, 0, 0, 0, 0, 0, 2, 7
config\management\commands\migrate_revised_to_default.py, Python, 5, 0, 0, 0, 0, 0, 0, 2, 7
config\management\commands\migrate_scraper_to_revised.py, Python, 5, 0, 0, 0, 0, 0, 0, 2, 7
config\management\commands\migrate_staging_to_production.py, Python, 5, 0, 0, 0, 0, 0, 1, 2, 8
config\management\commands\scrape_all.py, Python, 8, 0, 0, 0, 0, 0, 0, 2, 10
config\management\zips\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
config\management\zips\lookup.py, Python, 11, 0, 0, 0, 0, 0, 0, 2, 13
config\management\zips\zipcodes.csv, CSV, 0, 0, 0, 0, 33144, 0, 0, 0, 33144
config\scrap.py, Python, 0, 0, 0, 0, 0, 0, 296, 96, 392
config\scripts\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
config\scripts\check_settings.py, Python, 7, 0, 0, 0, 0, 0, 0, 4, 11
config\scripts\colors.py, Python, 41, 0, 0, 0, 0, 0, 0, 8, 49
config\scripts\db_operations.py, Python, 95, 0, 0, 0, 0, 0, 0, 17, 112
config\scripts\globals.py, Python, 4, 0, 0, 0, 0, 0, 0, 3, 7
config\scripts\images.py, Python, 24, 0, 0, 0, 0, 0, 0, 5, 29
config\scripts\lists.py, Python, 271, 0, 0, 0, 0, 0, 0, 6, 277
config\scripts\measurements.py, Python, 69, 0, 0, 0, 0, 0, 5, 5, 79
config\settings\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
config\settings\base.py, Python, 83, 0, 0, 0, 0, 0, 1, 25, 109
config\settings\custom_storage.py, Python, 10, 0, 0, 0, 0, 0, 0, 5, 15
config\settings\db_routers.py, Python, 15, 0, 0, 0, 0, 0, 0, 8, 23
config\settings\local.py, Python, 66, 0, 0, 0, 0, 0, 1, 17, 84
config\settings\local_storage.py, Python, 11, 0, 0, 0, 0, 0, 0, 5, 16
config\settings\passwords.py, Python, 5, 0, 0, 0, 0, 0, 0, 4, 9
config\settings\production.py, Python, 44, 0, 0, 0, 0, 0, 6, 20, 70
config\settings\staging.py, Python, 57, 0, 0, 0, 0, 0, 6, 26, 89
config\urls.py, Python, 23, 0, 0, 0, 0, 0, 3, 4, 30
config\views.py, Python, 25, 0, 0, 0, 0, 0, 11, 7, 43
config\wsgi.py, Python, 4, 0, 0, 0, 0, 0, 8, 5, 17
manage.py, Python, 13, 0, 0, 0, 0, 0, 1, 2, 16
requirements.txt, Django txt, 0, 0, 56, 0, 0, 0, 0, 1, 57
runtime.txt, Django txt, 0, 0, 1, 0, 0, 0, 0, 0, 1
scraper_default_db.json, JSON, 0, 0, 0, 0, 0, 1, 0, 0, 1
templates\__init__.py, Python, 0, 0, 0, 0, 0, 0, 0, 1, 1
templates\acc_activate_email.html, Django HTML, 0, 0, 0, 5, 0, 0, 0, 0, 5
templates\index.html, Django HTML, 0, 0, 0, 7, 0, 0, 0, 0, 7
Total, -, 6390, 15, 57, 12, 33144, 1, 1142, 1560, 42321
